evaluation_year,strategy,policy,cost_fn,cost_fp,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,cost_per_10000,average_precision,roc_auc
2019,sin_balanceo,costo,10,1,0.12882591455025527,1,9,122,73316,73448,0.1,0.008130081300813009,0.015037593984962405,10,1.3615074610608866,1.225356714954798,1229,167.32926696438298,0.0120375294427629,0.671539171579919
2019,sin_balanceo,f1_validacion,10,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,1272,173.18374904694477,0.0120375294427629,0.671539171579919
2019,sin_balanceo,referencia_007217143,10,1,0.07217143,2,22,121,73303,73448,0.08333333333333333,0.016260162601626018,0.027210884353741496,24,3.267617906546128,2.9953164143339506,1232,167.73771920270124,0.0120375294427629,0.671539171579919
2019,sin_balanceo,costo,25,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,3012,410.08604727153903,0.0120375294427629,0.671539171579919
2019,sin_balanceo,f1_validacion,25,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,3012,410.08604727153903,0.0120375294427629,0.671539171579919
2019,sin_balanceo,referencia_007217143,25,1,0.07217143,2,22,121,73303,73448,0.08333333333333333,0.016260162601626018,0.027210884353741496,24,3.267617906546128,2.9953164143339506,3047,414.85132338525216,0.0120375294427629,0.671539171579919
2019,sin_balanceo,costo,50,1,0.01667617505728373,11,246,112,73079,73448,0.042801556420233464,0.08943089430894309,0.05789473684210526,257,34.990741749264785,33.493083542097814,5846,795.9372617361943,0.0120375294427629,0.671539171579919
2019,sin_balanceo,f1_validacion,50,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,5912,804.9232109791963,0.0120375294427629,0.671539171579919
2019,sin_balanceo,referencia_007217143,50,1,0.07217143,2,22,121,73303,73448,0.08333333333333333,0.016260162601626018,0.027210884353741496,24,3.267617906546128,2.9953164143339506,6072,826.7073303561704,0.0120375294427629,0.671539171579919
2019,sin_balanceo,costo,100,1,0.012534672098943234,14,465,109,72860,73448,0.029227557411273485,0.11382113821138211,0.046511627906976744,479,65.21620738481647,63.310096939331224,11365,1547.3532294956976,0.0120375294427629,0.671539171579919
2019,sin_balanceo,f1_validacion,100,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,11712,1594.5975383945104,0.0120375294427629,0.671539171579919
2019,sin_balanceo,referencia_007217143,100,1,0.07217143,2,22,121,73303,73448,0.08333333333333333,0.016260162601626018,0.027210884353741496,24,3.267617906546128,2.9953164143339506,12122,1650.4193442980068,0.0120375294427629,0.671539171579919
2019,submuestreo,costo,5,1,0.8549467147522368,0,0,123,73325,73448,0.0,0.0,0.0,0,0.0,0.0,615,83.73270885524452,0.002971356400877114,0.6698696914006304
2019,submuestreo,f1_validacion,5,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,756,102.92996405620303,0.002971356400877114,0.6698696914006304
2019,submuestreo,referencia_007217143,5,1,0.07217143,43,13298,80,60027,73448,0.0032231466906528744,0.34959349593495936,0.006387403446226975,13341,1816.3871038013287,1810.5326217187671,13698,1864.9929201612026,0.002971356400877114,0.6698696914006304
2019,submuestreo,costo,10,1,0.8549467147522368,0,0,123,73325,73448,0.0,0.0,0.0,0,0.0,0.0,1230,167.46541771048905,0.002971356400877114,0.6698696914006304
2019,submuestreo,f1_validacion,10,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,1371,186.66267291144754,0.002971356400877114,0.6698696914006304
2019,submuestreo,referencia_007217143,10,1,0.07217143,43,13298,80,60027,73448,0.0032231466906528744,0.34959349593495936,0.006387403446226975,13341,1816.3871038013287,1810.5326217187671,14098,1919.4532186036379,0.002971356400877114,0.6698696914006304
2019,submuestreo,costo,25,1,0.8549467147522368,0,0,123,73325,73448,0.0,0.0,0.0,0,0.0,0.0,3075,418.66354427622264,0.002971356400877114,0.6698696914006304
2019,submuestreo,f1_validacion,25,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,3216,437.8607994771811,0.002971356400877114,0.6698696914006304
2019,submuestreo,referencia_007217143,25,1,0.07217143,43,13298,80,60027,73448,0.0032231466906528744,0.34959349593495936,0.006387403446226975,13341,1816.3871038013287,1810.5326217187671,15298,2082.8341139309446,0.002971356400877114,0.6698696914006304
2019,submuestreo,costo,50,1,0.8549467147522368,0,0,123,73325,73448,0.0,0.0,0.0,0,0.0,0.0,6150,837.3270885524453,0.002971356400877114,0.6698696914006304
2019,submuestreo,f1_validacion,50,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,6291,856.5243437534039,0.002971356400877114,0.6698696914006304
2019,submuestreo,referencia_007217143,50,1,0.07217143,43,13298,80,60027,73448,0.0032231466906528744,0.34959349593495936,0.006387403446226975,13341,1816.3871038013287,1810.5326217187671,17298,2355.1356061431215,0.002971356400877114,0.6698696914006304
2019,submuestreo,costo,100,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,12441,1693.851432305849,0.002971356400877114,0.6698696914006304
2019,submuestreo,f1_validacion,100,1,0.6217115428311037,0,141,123,73184,73448,0.0,0.0,0.0,141,19.1972552009585,19.1972552009585,12441,1693.851432305849,0.002971356400877114,0.6698696914006304
2019,submuestreo,referencia_007217143,100,1,0.07217143,43,13298,80,60027,73448,0.0032231466906528744,0.34959349593495936,0.006387403446226975,13341,1816.3871038013287,1810.5326217187671,21298,2899.738590567476,0.002971356400877114,0.6698696914006304
2019,smotenc,costo,5,1,1.0000000000000002,0,0,123,73325,73448,0.0,0.0,0.0,0,0.0,0.0,615,83.73270885524452,0.0024753978203382247,0.6590393032467659
