evaluation_year,strategy,cost_fn,hypothetical_alert_budget_per_10000,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2016,submuestreo,10,250,0.5375463996969455,104.0,382.0,86.0,87498.0,486.0,88070.0,0.2139917695473251,0.5473684210526316,0.3076923076923077,55.18337685931645,1242.0
2016,submuestreo,25,10,0.6588488318240155,35.0,52.0,155.0,87828.0,87.0,88070.0,0.40229885057471265,0.18421052631578946,0.2527075812274368,9.878505734075167,3927.0
2016,submuestreo,25,25,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,3247.0
2016,submuestreo,25,50,0.5483385785828176,98.0,333.0,92.0,87547.0,431.0,88070.0,0.2273781902552204,0.5157894736842106,0.31561996779388085,48.93834449869422,2633.0
2016,submuestreo,25,100,0.5189304084629085,110.0,486.0,80.0,87394.0,596.0,88070.0,0.18456375838926176,0.5789473684210527,0.27989821882951654,67.67344158056092,2486.0
2016,submuestreo,25,250,0.5189304084629085,110.0,486.0,80.0,87394.0,596.0,88070.0,0.18456375838926176,0.5789473684210527,0.27989821882951654,67.67344158056092,2486.0
2016,submuestreo,50,10,0.6588488318240155,35.0,52.0,155.0,87828.0,87.0,88070.0,0.40229885057471265,0.18421052631578946,0.2527075812274368,9.878505734075167,7802.0
2016,submuestreo,50,25,0.5994632980937675,66.0,153.0,124.0,87727.0,219.0,88070.0,0.3013698630136986,0.3473684210526316,0.32273838630806845,24.866583399568526,6353.0
2016,submuestreo,50,50,0.5483385785828176,98.0,333.0,92.0,87547.0,431.0,88070.0,0.2273781902552204,0.5157894736842106,0.31561996779388085,48.93834449869422,4933.0
2016,submuestreo,50,100,0.4969111215378095,116.0,649.0,74.0,87231.0,765.0,88070.0,0.15163398692810456,0.6105263157894737,0.24293193717277486,86.86272283410923,4349.0
2016,submuestreo,50,250,0.43272419993629385,132.0,1360.0,58.0,86520.0,1492.0,88070.0,0.08847184986595175,0.6947368421052632,0.15695600475624258,169.4106960372431,4260.0
2016,submuestreo,100,10,0.6588488318240155,35.0,52.0,155.0,87828.0,87.0,88070.0,0.40229885057471265,0.18421052631578946,0.2527075812274368,9.878505734075167,15552.0
2016,submuestreo,100,25,0.5994632980937675,66.0,153.0,124.0,87727.0,219.0,88070.0,0.3013698630136986,0.3473684210526316,0.32273838630806845,24.866583399568526,12553.0
2016,submuestreo,100,50,0.5483385785828176,98.0,333.0,92.0,87547.0,431.0,88070.0,0.2273781902552204,0.5157894736842106,0.31561996779388085,48.93834449869422,9533.0
2016,submuestreo,100,100,0.4969111215378095,116.0,649.0,74.0,87231.0,765.0,88070.0,0.15163398692810456,0.6105263157894737,0.24293193717277486,86.86272283410923,8049.0
2016,submuestreo,100,250,0.4065517191864897,140.0,1853.0,50.0,86027.0,1993.0,88070.0,0.07024586051179127,0.7368421052631579,0.1282638570774164,226.29726354036563,6853.0
2016,smotenc,5,10,0.6630529029992553,26.0,39.0,164.0,87841.0,65.0,88070.0,0.4,0.1368421052631579,0.20392156862745098,7.380492789826274,859.0
2016,smotenc,5,25,0.5757425600396552,58.0,155.0,132.0,87725.0,213.0,88070.0,0.27230046948356806,0.30526315789473685,0.2878411910669975,24.1853071420461,815.0
2016,smotenc,5,50,0.5708684424065286,61.0,169.0,129.0,87711.0,230.0,88070.0,0.26521739130434785,0.32105263157894737,0.2904761904761905,26.115589871692972,814.0
2016,smotenc,5,100,0.5708684424065286,61.0,169.0,129.0,87711.0,230.0,88070.0,0.26521739130434785,0.32105263157894737,0.2904761904761905,26.115589871692972,814.0
2016,smotenc,5,250,0.5708684424065286,61.0,169.0,129.0,87711.0,230.0,88070.0,0.26521739130434785,0.32105263157894737,0.2904761904761905,26.115589871692972,814.0
2016,smotenc,10,10,0.6542928566685796,27.0,45.0,163.0,87835.0,72.0,88070.0,0.375,0.14210526315789473,0.20610687022900764,8.175315090269104,1675.0
2016,smotenc,10,25,0.5739522470755598,59.0,161.0,131.0,87719.0,220.0,88070.0,0.2681818181818182,0.3105263157894737,0.28780487804878047,24.98012944248893,1471.0
2016,smotenc,10,50,0.5271774704782441,79.0,290.0,111.0,87590.0,369.0,88070.0,0.2140921409214092,0.41578947368421054,0.2826475849731664,41.898489837629164,1400.0
2016,smotenc,10,100,0.5271774704782441,79.0,290.0,111.0,87590.0,369.0,88070.0,0.2140921409214092,0.41578947368421054,0.2826475849731664,41.898489837629164,1400.0
2016,smotenc,10,250,0.5271774704782441,79.0,290.0,111.0,87590.0,369.0,88070.0,0.2140921409214092,0.41578947368421054,0.2826475849731664,41.898489837629164,1400.0
2016,smotenc,25,10,0.6542928566685796,27.0,45.0,163.0,87835.0,72.0,88070.0,0.375,0.14210526315789473,0.20610687022900764,8.175315090269104,4120.0
2016,smotenc,25,25,0.5739522470755598,59.0,161.0,131.0,87719.0,220.0,88070.0,0.2681818181818182,0.3105263157894737,0.28780487804878047,24.98012944248893,3436.0
2016,smotenc,25,50,0.5062560678636878,84.0,354.0,106.0,87526.0,438.0,88070.0,0.1917808219178082,0.4421052631578947,0.267515923566879,49.73316679913705,3004.0
2016,smotenc,25,100,0.4330520236396108,108.0,674.0,82.0,87206.0,782.0,88070.0,0.13810741687979539,0.5684210526315789,0.2222222222222222,88.7930055637561,2724.0
