evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2015,rf_revisado_reciente,100,0.039509490529279837,37,743,0.6981132075471698,90.00380785340919,127,744,63,87136,0.6684210526315789,0.14580941446613088,871,98.89860338367208,1374,7044
2015,rf_revisado_reciente,250,0.023155904221106444,44,1977,0.8301886792452831,233.20217393812817,145,1989,45,85891,0.7631578947368421,0.06794751640112465,2134,242.3072555921426,2439,6489
2015,rf_variables_revisadas,10,0.05487809827309114,33,44,0.6226415094339622,8.884991288092957,106,46,84,87834,0.5578947368421052,0.6973684210526315,152,17.258998523901443,886,8446
2015,rf_variables_revisadas,25,0.027789541607644824,36,159,0.6792452830188679,22.500951963352296,115,148,75,87732,0.6052631578947368,0.4372623574144487,263,29.86260928806631,898,7648
2015,rf_variables_revisadas,50,0.022685844002530667,37,216,0.6981132075471698,29.193542803734005,115,220,75,87660,0.6052631578947368,0.34328358208955223,335,38.03792437833542,970,7720
2015,rf_variables_revisadas,100,0.013141766355352467,41,684,0.7735849056603774,83.65738550477136,132,704,58,87176,0.6947368421052632,0.15789473684210525,836,94.92449188145793,1284,6504
2015,rf_variables_revisadas,250,0.00895210265303463,46,1878,0.8679245283018868,222.00939270507598,152,1956,38,85924,0.8,0.07210626185958255,2108,239.3550584762121,2336,5756
2016,r1_pesos_clase,10,0.7854871126509785,23,20,0.17293233082706766,9.68054211035818,35,39,191,87520,0.15486725663716813,0.47297297297297297,74,8.429686165062368,1949,19139
2016,r1_pesos_clase,25,0.7262802749262246,39,66,0.2932330827067669,23.63853306017695,54,108,172,87451,0.23893805309734514,0.3333333333333333,162,18.454177820812212,1828,17308
2016,r1_pesos_clase,50,0.671278730465911,58,144,0.43609022556390975,45.4760350300547,79,205,147,87354,0.3495575221238938,0.27816901408450706,284,32.351768525374496,1675,14905
2016,r1_pesos_clase,100,0.5641377709163292,83,354,0.6240601503759399,98.3813233075936,143,551,83,87008,0.6327433628318584,0.20605187319884727,694,79.05678646693626,1381,8851
2016,r1_pesos_clase,250,0.4951074610887753,102,801,0.7669172932330827,203.2913843175218,167,1297,59,86262,0.7389380530973452,0.11407103825136612,1464,166.7710884547474,1887,7197
2016,r1_sin_balanceo,10,0.29884679655198515,42,0,0.3157894736842105,9.455413224070782,73,3,153,87556,0.3230088495575221,0.9605263157894737,76,8.657515520874865,1533,15303
2016,r1_sin_balanceo,25,0.2712917453310925,45,64,0.3383458646616541,24.53904860532655,73,153,153,87406,0.3230088495575221,0.3230088495575221,226,25.744717206812098,1683,15453
2016,r1_sin_balanceo,50,0.26697187989342924,47,82,0.3533834586466165,29.041626331074543,73,193,153,87366,0.3230088495575221,0.2744360902255639,266,30.301304323062027,1723,15493
2016,r1_sin_balanceo,100,0.26697187989342924,47,82,0.3533834586466165,29.041626331074543,73,193,153,87366,0.3230088495575221,0.2744360902255639,266,30.301304323062027,1723,15493
2016,r1_sin_balanceo,250,0.25600339978649556,48,1024,0.3609022556390977,241.3381661000923,78,2297,148,85262,0.34513274336283184,0.032842105263157895,2375,270.54736002733955,3777,17097
2016,r1_smotenc,10,0.6630529029992553,20,20,0.15037593984962405,9.005155451495982,22,26,204,87533,0.09734513274336283,0.4583333333333333,48,5.467904539499915,2066,20426
2016,r1_smotenc,25,0.5865951823463126,37,74,0.2781954887218045,24.989306377901347,58,100,168,87459,0.25663716814159293,0.3670886075949367,158,17.998519109187217,1780,16900
2016,r1_smotenc,50,0.5271774704782441,60,148,0.45112781954887216,46.82680834777911,89,241,137,87318,0.3938053097345133,0.2696969696969697,330,37.59184370906191,1611,13941
2016,r1_smotenc,100,0.42540097215041145,80,359,0.6015037593984962,98.83158108016839,121,638,105,86921,0.5353982300884956,0.15942028985507245,759,86.4612405308424,1688,11138
2016,r1_smotenc,250,0.3295481946937383,95,836,0.7142857142857143,209.59499313356895,161,1563,65,85996,0.7123893805309734,0.09338747099767981,1724,196.38890471037192,2213,8063
2016,r1_submuestreo,10,0.6648568965559097,21,23,0.15789473684210525,9.90567099664558,37,43,189,87516,0.16371681415929204,0.4625,80,9.113174232499858,1933,18943
2016,r1_submuestreo,25,0.6082247787236276,47,61,0.3533834586466165,24.313919719039152,76,136,150,87423,0.336283185840708,0.3584905660377358,212,24.149911716124624,1636,15136
2016,r1_submuestreo,50,0.5672976146647215,64,142,0.48120300751879697,46.376550575204305,100,258,126,87301,0.4424778761061947,0.27932960893854747,358,40.78145469043686,1518,12858
2016,r1_submuestreo,100,0.5000716310567028,79,330,0.5939849624060151,92.0777144915464,129,616,97,86943,0.5707964601769911,0.17315436241610738,745,84.86643504015493,1586,10316
2016,r1_submuestreo,250,0.39968613205337383,98,1003,0.7368421052631579,247.8669038024269,163,1957,63,85602,0.7212389380530974,0.07688679245283019,2120,241.49911716124623,2587,8257
2016,rf_actualizado,10,0.23388382358654777,44,0,0.3308270676691729,9.90567099664558,62,4,164,87555,0.2743362831858407,0.9393939393939394,66,7.518368741812383,1644,16404
2016,rf_actualizado,25,0.05822997213404287,76,35,0.5714285714285714,24.989306377901347,119,87,107,87472,0.5265486725663717,0.5776699029126213,206,23.466423648687133,1157,10787
2016,rf_actualizado,50,0.03005134307834322,84,136,0.631578947368421,49.5283549832279,140,234,86,87325,0.6194690265486725,0.37433155080213903,374,42.60408953693683,1094,8834
2016,rf_actualizado,100,0.01959065016050786,88,315,0.6616541353383458,90.72694117382203,148,557,78,87002,0.6548672566371682,0.2099290780141844,705,80.309847923905,1337,8357
2016,rf_actualizado,250,0.012900155925023471,97,925,0.7293233082706767,230.08172178572235,157,1421,69,86138,0.6946902654867256,0.09949302915082382,1578,179.7573617360597,2111,8321
2016,rf_peso10_reciente,10,0.19711653497485873,42,2,0.3157894736842105,9.90567099664558,68,15,158,87544,0.3008849557522124,0.8192771084337349,83,9.454918266218602,1595,15815
2016,rf_peso10_reciente,25,0.10857690850978655,64,40,0.48120300751879697,23.413404173889553,100,90,126,87469,0.4424778761061947,0.5263157894736842,190,21.64378880218716,1350,12690
2016,rf_peso10_reciente,50,0.07041850349415,81,130,0.6090225563909775,47.5021950066413,120,263,106,87296,0.5309734513274337,0.3133159268929504,383,43.62932163809307,1323,10863
2016,rf_peso10_reciente,100,0.04843411355300705,89,343,0.6691729323308271,97.25567887615661,135,656,91,86903,0.5973451327433629,0.1706700379266751,791,90.10651022384233,1566,9756
2016,rf_peso10_reciente,250,0.03501309281918662,103,684,0.7744360902255639,177.17643350818344,152,1334,74,86225,0.672566371681416,0.10228802153432032,1486,169.27721136868485,2074,8734
